Name,Class,Tier,Threat,Rating,Value,Size Class,Size,Profile,Memory,Spot %,Movement,Speed,Speed %,Sight Range,Energy Generation,Heat Dissipation,Core Integrity,Core Exposure,Core Exposure %,Salvage Potential,Accuracy,Melee Accuracy,Inventory Capacity,Hacking Availability,Hacking Difficulty,Power Slots,Propulsion Slots,Utility Slots,Weapon Slots,Kinetic,Thermal,Explosive,Electromagnetic,Impact,Slashing,Piercing,Immunities,Traits,Fabrication Count,Fabrication Time,Armament,Components,Analysis
"Scrapoid","Scrapoid (Derelict)","3","2","28","17","Small","1","SQ3X3","20","20","Rolling","80","125","16","17","20","22","254","39","50~70","60","70","1","ALL","AVERAGE","1","1","4","2","25%","-25%","","-25%","-50%","","","","","","","Ovr. Pulse Rifle OR Ovr. Barrage Gun","Imp. Ion Engine, Ovr. Scrapsphere, Scrap Suit, Mak. Microdissipator Network, Mak. Salvage Targeting Computer","Small unintelligent robots of unknown origin that appear together in small groups, creating havoc for the short while they manage to survive. These swarms seem to form suddenly without any clear source, though activity appears more frequent near Recycling Units, and they are noticeably attracted to spare parts. This is not surprising; leave enough of a given resource lying around, even junk, and something will eventually evolve to make use of it. So far in Complex 0b10 I haven't seen much of the same Scrapoid activity that occasionally plagues Complex 0b1.",
"Scrapoid","Scrapoid (Derelict)","6","3","47","30","Small","1","SQ3X3","20","20","Rolling","80","125","16","24","20","37","281","39","60~80","60","70","1","ALL","AVERAGE","1","2","4","2","25%","-25%","","-25%","-50%","","","","","","","Ovr. Beamcaster OR Ovr. Coil Gun","Neutrino Core, Ovr. Huge Scrapsphere, Scrap Suit, Mak. Microdissipator Network, Mak. Salvage Targeting Computer","Small unintelligent robots of unknown origin that appear together in small groups, creating havoc for the short while they manage to survive. These swarms seem to form suddenly without any clear source, though activity appears more frequent near Recycling Units, and they are noticeably attracted to spare parts. This is not surprising; leave enough of a given resource lying around, even junk, and something will eventually evolve to make use of it. So far in Complex 0b10 I haven't seen much of the same Scrapoid activity that occasionally plagues Complex 0b1.",
"Scrapoid","Scrapoid (Derelict)","8","4","64","45","Small","1","SQ3X3","20","20","Rolling","80","125","16","26","130","50","391","39","70~90","60","70","1","ALL","AVERAGE","1","2","6","2","25%","-25%","","-25%","-50%","","","","","","","Ovr. Quantum Rifle OR Ovr. Railgun","Lgt. Antimatter Reactor, Ovr. Huge Scrapsphere, Scrap Suit, Mak. Coolant Network, Mak. Salvage Targeting Computer","Small unintelligent robots of unknown origin that appear together in small groups, creating havoc for the short while they manage to survive. These swarms seem to form suddenly without any clear source, though activity appears more frequent near Recycling Units, and they are noticeably attracted to spare parts. This is not surprising; leave enough of a given resource lying around, even junk, and something will eventually evolve to make use of it. So far in Complex 0b10 I haven't seen much of the same Scrapoid activity that occasionally plagues Complex 0b1.",
"Scraphulk","Scraphulk (Derelict)","6","4","123","84","Large","2","SQ9X9","20","20","Walking","140","71","16","34","130","120","291","14","100~140","60","70","1","ALL","GREAT","1","3","13","2","","10%","","90%","-50%","","","","","","","Ovr. Phase Cannon, Ovr. Bore Cannon","Ovr. Antimatter Reactor, Ovr. Armored Exoskeleton, Mak. Heavy Armor Plating, Insulated Plating, Mak. Thermal Plating, Mak. Propulsion Shielding, Scrap Suit, Dynamic Insulation System, Mak. Coolant Network, Mak. Microdissipator Network, Partition Strike Chip","",
"Scraphulk","Scraphulk (Derelict)","8","5","139","90","Large","2","SQ9X9","20","20","Walking","140","71","16","34","135","135","300","15","140~200","60","70","1","ALL","GREAT","1","3","14","2","","10%","","95%","-50%","","","","","","","Ovr. Nova Cannon, Ovr. Linear Accelerator","Ovr. Antimatter Reactor, Ovr. Armored Exoskeleton, Mak. Heavy Armor Plating, Med. Insulated Plating, Mak. Thermal Plating, Mak. Core Shielding, Mak. Propulsion Shielding, Scrap Suit, Imp. Dynamic Insulation System, Mak. Coolant Network, Mak. Microdissipator Network, Partition Strike Chip","",
"Mutated Botcube","Special","7","4","25","","Large","1","RD7X7","30","20","N/A","50","200","16","30","50","125","100","100","10~20","60","70","1","MANUAL","","1","2","6","2","","","50%","75%","","","","Hacking/RIF","","","","","","",
"Large Mutated Botcube","Special","8","5","30","","Large","1","RD7X7","30","20","N/A","50","200","16","40","50","150","100","100","10~30","60","70","1","MANUAL","","2","4","8","4","","","50%","75%","","","","Hacking/RIF","","","","","","",
"Wyrm Statue","Special","1","1","20","","Large","2","SQ9X9","50","","N/A","50","200","16","10","10","100","100","100","10~20","60","70","1","-","","-1","-1","-1","-1","","","","","","","","Hacking/RIF","","","","","","",
"Zionite","Zionite (Derelict)","1","1","19","10","Medium","1","RD5X5","10","20","Walking","130","76","14","20","15","10","140","40","10~30","60","70","1","ALL","EASY","2","3","4","2","","","","","","","","","","","","","","",
"Z-Technician","Z-Technician (Derelict)","1","1","11","","Medium","1","RD5X5","10","","Hovering","56","178","14","10","15","15","128","40","10~20","60","70","1","ALL","AVERAGE","1","2","1","1","","","","-50%","","-25%","","","","","","Datajack","Lgt. Ion Engine, 2x Hover Unit, Mak. Hacking Suite","",
"Z-Courier","Z-Courier (Derelict)","5","2","27","","Large","1","SQ9X9","10","","Treading","320","31","16","14","10","40","249","30","80~120","60","70","2","ALL","EASY","1","3","3","","","","","-25%","","","","","","","","","Nuclear Core, 3x Med. Treads, Visual Processing Unit, Humpback","",
"Z-Drone","Z-Drone","1","3","16","","Tiny","1","SQ3X3","50","75","Flying","37","270","20","20","15","25","181","50","5~15","60","70","","MANUAL","","1","2","2","","","","-25%","-100%","","","","Hacking","","","","","Lgt. Ion Engine, 2x Flight Unit, Adv. Visual Processing Unit, Mak. Cloaking Device","",
"Z-Light","Z-Light (Derelict)","5","3","70","50","Medium","1","RD5X5","20","20","Hovering","56","178","16","32","51","45","536","39","50~70","60","70","1","ALL","VHARD","1","2","6","1","","","","","","","","","","","","Zio. Laser-S","Zio. Light DM Reactor, 2x Zio. Glidesys I, Zio. Light Carapace, Zio. Biocell, Phase Shifter, Imp. Reaction Control System, Exp. Heat Sink, Zio. Weapon Casing","",
"Z-Light","Z-Light (Derelict)","7","4","96","67","Medium","1","RD5X5","20","20","Hovering","56","178","16","32","72","60","590","40","60~85","60","70","1","ALL","VHARD","1","2","7","2","","","","","","","","","","","","Zio. Laser-M, Zio. Laser-S","Zio. Light DM Reactor, 2x Zio. Glidesys II, Zio. Light Carapace, Zio. Biocell, Imp. Phase Shifter, Adv. Reaction Control System, 2x Exp. Heat Sink, Zio. Weapon Casing","",
"Z-Light","Z-Light (Derelict)","9","5","115","73","Medium","1","RD5X5","20","20","Hovering","52","192","16","42","72","70","626","39","70~100","60","70","1","ALL","VHARD","1","3","7","2","","","","","","","","","","","","Zio. Laser-H, Zio. Laser-M","Zio. Light DM Reactor, 3x Zio. Glidesys II, Zio. Light Carapace, Zio. Biocell, Adv. Phase Shifter, Exp. Reaction Control System, 2x Exp. Heat Sink, Zio. Weapon Casing","",
"Z-Heavy","Z-Heavy (Derelict)","5","3","85","66","Large","1","RD7X7","40","20","Walking","110","90","16","40","89","55","702","29","50~70","70","70","1","ALL","GREAT","1","2","8","3","","","","","","","","","","","","2x Zio. Phaser-S, Zio. Laser-S","Zio. Heavy DM Reactor, 2x Zio. Composite Leg I, Zio. Heavy Carapace, Zio. Biocell, 2x Targeting Computer, 2x Imp. Cooling System, Zio. Weapon Casing","",
"Z-Heavy","Z-Heavy (Derelict)","7","4","103","77","Large","1","RD7X7","40","20","Walking","110","90","16","40","99","75","701","29","60~85","66","70","1","ALL","GREAT","1","2","7","3","","","","","","","","","","","","2x Zio. Phaser-M, Zio. Laser-M","Zio. Heavy DM Reactor, 2x Zio. Composite Leg II, Zio. Heavy Carapace, Zio. Biocell, Imp. Targeting Computer, 2x Adv. Cooling System, Zio. Weapon Casing","",
"Z-Heavy","Z-Heavy (Derelict)","9","5","122","88","Large","1","RD7X7","40","20","Walking","110","90","16","40","111","95","718","29","70~100","68","70","1","ALL","GREAT","1","2","7","3","","","","","","","","","","","","2x Zio. Phaser-H, Zio. Laser-H","Zio. Heavy DM Reactor, 2x Zio. Composite Leg II, Zio. Heavy Carapace, Zio. Biocell, Adv. Targeting Computer, 2x Exp. Cooling System, Zio. Weapon Casing","",
"Z-Experimental","Special","8","5","192","200","Large","1","RD7X7","50","50","Walking","110","90","23","80","220","150","394","19","80~105","72","70","1","ALL","GODLY","2","3","12","2","20%","20%","20%","20%","20%","20%","20%","Coring, Hacking/RIF","","","","2x Zio. Alpha Cannon","2x Zio. Heavy DM Reactor, 3x Zio. Supercomposite Leg, 2x Zio. Shade Carapace, Zio. Biocell Array, Exp. Optical Array, Prc. Energy Filter, Particle Accelerator, Exp. Targeting Computer, 2x Coolant Network, Zio. Weapon Casing","",
"Z-Experimental","Special","10","5","269","200","Large","1","RD7X7","50","50","Walking","110","90","23","80","220","150","440","19","80~105","72","70","1","ALL","GODLY","2","4","17","2","30%","30%","30%","30%","30%","30%","30%","Coring, Hacking/RIF","","","","2x Zio. Alpha Cannon Mk. II","2x Zio. Heavy DM Reactor, 4x Zio. Supercomposite Leg, 4x Zio. Shade Armor, 2x Zio. Biocell Array, Exp. Optical Array, Prc. Energy Filter, Particle Accelerator, Exp. Weapon Cycler, Exp. Targeting Computer, 2x Coolant Network, 2x Zio. Weapon Casing","",
"Assembler","Assembler (Derelict)","4","2","80","40","Large","1","RD7X7","10","","Treading","160","62","14","23","38","40","390","30","30~60","60","70","1","MANUAL","","2","2","17","","","","","50%","","","","Hacking","","","","","2x Lgt. Deuterium Engine, 2x Med. Treads, 10x Com. Matter Pod, 2x Imp. Heat Sink, Lrn. Tractor Beam, Mobile Assembly Unit","An emerging threat in Complex 0b10, serving no purpose but to collect matter and construct new Assembled specifically to wreak havoc in low-security areas. The appearance of Assemblers represents an apparent offensive turn by whatever built the first Demented and Furnace models.",
"Assembled","Assembled (Derelict)","4","1","10","","Small","1","SQ3X3","20","30","Hovering","60","166","16","20","35","20","70","50","10~20","60","70","1","MANUAL","","","1","","1","","","","","-25%","-25%","-25%","Hacking","","","","Asb. Rifle OR Asb. Heavy Rifle OR Asb. F-torch OR Asb. Maul OR Asb. Blade","Asb. Hover Unit","A quick but not especially dangerous combat derelict with fully integrated systems, constructed seemingly at random by an Assembler's self-contained fabrication apparatus. Individually resilient for their size, they pose a real threat in greater numbers.",
"Assembled","Assembled (Derelict)","7","2","15","","Small","1","SQ3X3","20","30","Hovering","60","166","16","20","35","30","103","39","10~20","60","70","1","MANUAL","","","1","","1","","","","","-25%","-25%","-25%","Hacking","","","","Asb. Shotgun OR Asb. Gauss Rifle OR Asb. P-torch OR Asb. P-maul OR Asb. P-sword","Asb. Hover System","A quick but not especially dangerous combat derelict with fully integrated systems, constructed seemingly at random by an Assembler's self-contained fabrication apparatus. Individually resilient for their size, they pose a real threat in greater numbers.",
"Golem","Golem (Derelict)","8","5","234","250","Large","1","RD7X7","40","50","Walking","150","66","16","80","95","200","132","9","80~120","60","70","1","MANUAL","","2","2","16","3","15%","15%","15%","15%","-10%","-10%","-10%","Disruption, Hacking","","","","Asb. Focal Cannon, Asb. Focal Cannon, Asb. Focal Cannon","GOLEM Unit, Asb. Alloy Leg, Asb. Flux Generator, Asb. Alloy Leg, Asb. Biocell Array, Asb. Nanovents, Asb. Nanovents, Asb. Alloy Armor, Asb. Nanovents, Asb. Suspension Frame, Asb. Combat Suite, Asb. Alloy Armor, Asb. Biocell Array, Asb. Nanovents, Asb. Alloy Armor, Asb. Metafiber Network, Asb. Alloy Armor","",
"Golem","Golem (Derelict)","8","5","56","","Large","1","RD7X7","40","50","N/A","50","200","16","40","35","200","132","81","80~120","60","70","1","MANUAL","","2","2","16","3","","","","","-25%","-25%","-25%","Disruption, Hacking","","","","","GOLEM Unit","",
"Decomposer","Decomposer (Derelict)","1","1","7","","Medium","1","RD5X5","10","","Rolling","80","125","14","10","10","10","198","50","10~30","60","70","1","ALL","EASY","1","2","2","","","","","-25%","","","","","","","","","Lgt. Ion Engine, 2x Wheel, Tractor Beam, Sml. Matter Pod","Decomposers are the precursor to K-class workers, converting debris to matter they leave behind for other robots to then collect and utilize. This was before the matter collection and redistribution process was centralized in Complex 0b10. Derelicts seem to have modified decomposers to break down even whole components.",
"Packrat","Packrat (Derelict)","2","1","12","","Medium","1","RD5X5","10","","Rolling","100","100","14","14","10","30","96","39","50~100","60","70","1","ALL","EASY","1","2","1","","","","","-50%","","","","","","","","","Lgt. Deuterium Engine, 2x Com. Wheel, Med. Storage Unit","Packrats are sent out by their derelict owners to collect useful components for later reuse, especially those that derelicts are incapable of manufacturing locally. They are especially weak against electromagnetic attacks, and are disabled by programmers on sight.",
"Samaritan","Samaritan (Derelict)","3","1","64","","Large","1","RD7X7","10","","Treading","160","62","14","33","20","40","304","40","30~60","60","70","1","ALL","EASY","2","2","12","","","","","-25%","","","","","Energy Emission (30): Each turn transfers [30-range] energy to each robot in view and within a range of 15.","","","","2x Neutrino Core, 2x Med. Treads, 12x Com. Battery","As a number of derelicts have insufficient or unreliable power supplies, some crafty derelict came up with the idea to create mobile recharging stations that generate and transmit energy to all nearby robot systems.",
"Tinkerer","Tinkerer (Derelict)","5","1","21","","Medium","1","RD5X5","10","","Hovering","60","166","14","19","10","30","88","40","10~30","60","70","1","ALL","EASY","1","1","2","","","","","-50%","","","","","","","","","Lgt. Nuclear Core, Gravmag System, Recalibrator, Component Analysis Suite","I have minimal data on their capabilities, but the tinkerer design seems to be an evolution of C-series researchers.",
"Demented","Demented (Derelict)","4","2","18","","Medium","1","RD5X5","10","","Rolling","80","125","14","14","10","40","108","40","30~60","60","70","1","ALL","EASY","1","2","1","","","","","50%","","","","","Corruption Emission (10): 10% chance each turn to cause anywhere from 0-50% corruption in each robot in view and within a range of 10. (Cogmind is less susceptible to the effect and only suffers 0-1% corruption.)","","","","Lgt. Deuterium Engine, 2x Wheel, System Guard","A relatively recent design, the so-called demented wander the caves corrupting nearby electronic systems. I suspect this one was devised by Warlord as an experiment in how to cause as much chaos as possible, or perhaps as a passive way to prevent Complex 0b10 patrols from venturing too deep into the caves.",
"Furnace","Furnace (Derelict)","4","2","28","","Large","1","RD7X7","10","","Rolling","80","125","14","23","91","40","206","39","30~60","60","70","1","ALL","EASY","2","2","3","","","","","-25%","","","","","Heat Emission (150): Each turn transfers [150-(range*10)] heat to each robot in view and within a range of 10.","","","","2x Lgt. Deuterium Engine, 2x Wheel, 3x Imp. Cooling System","Furnace bots emit massive amounts of heat, causing nearby robots to overheat and become useless. I assume the design's aim is similar to that of the demented class derelict, built as a deterrent.",
"Parasite","Parasite (Derelict)","4","2","27","","Medium","1","RD7X7","10","","Hovering","56","178","14","14","15","40","124","40","30~60","60","70","1","ALL","EASY","1","2","2","","","","","-25%","","","","","Energy Drain (50): Each turn drains [50-(range*2)] energy from each robot in view and within a range of 10. Also drains an equivalent amount of heat.","","","","Lgt. Deuterium Engine, 2x Airjet, 2x Energy Well","Parasites remotely drain energy from all nearby robots for an unknown purpose. This can temporarily incapacitate the victims, but also cools them significantly.",
"Thief","Thief (Derelict)","5","2","29","15","Small","1","SQ3X3","20","50","Flying","29","344","16","19","35","30","57","19","10~20","60","70","5","ALL","AVERAGE","1","3","1","2","","","","","","","","","","","","Tearclaws","Lgt. Deuterium Engine, 3x Cesium-ion Thruster, Propulsion Shielding","Fast and extremely difficult to core, the thief is the most effective method derelict groups have of stealing new components directly from robots without excessive collateral damage. With a growing number of these in the caves, for now I'm reluctant to send any of the new prototypes to clear them out lest they steal that technology, too.",
"Thief","Master Thief (Derelict)","7","3","68","30","Small","1","SQ3X3","20","100","Flying","34","294","22","38","35","40","97","19","15~30","60","70","10","ALL","HARD","1","3","6","2","","","","","","","","","Scan Cloak (4): Hides this robot from sensors without a Signal Interpreter of at least strength 4.","","","Master Tearclaws","Lgt. Fission Core, 3x Nuclear Pulse Thruster, Imp. Propulsion Shielding, Reaction Control System, Adv. Weight Redist. System, Mak. Cloaking Device, Enh. Optical Array, Nanoactuators","",
"Surgeon","Surgeon (Derelict)","4","2","20","28","Medium","1","RD5X5","10","","Rolling","80","125","14","14","25","40","116","39","40~60","60","70","12","ALL","AVERAGE","1","2","1","","","","","","","","","","","","","","Lgt. Deuterium Engine, 2x Wheel, Imp. Field Recycling Unit","Surgeons are derelict-modified mechanics that combine repair and recycling in a single design. Without a recycling infrastructure to support manufacturing, derelict groups rely on surgeons to handle both tasks.",
"Surgeon","Surgeon (Derelict)","6","3","27","36","Medium","1","RD5X5","10","","Rolling","80","125","14","18","25","50","150","40","50~70","60","70","12","ALL","AVERAGE","1","3","1","","","","","","","","","","","","","","Lgt. Angular Momentum Engine, 3x Wheel, Adv. Field Recycling Unit","Surgeons are derelict-modified mechanics that combine repair and recycling in a single design. Without a recycling infrastructure to support manufacturing, derelict groups rely on surgeons to handle both tasks.",
"Wasp","Wasp (Derelict)","5","2","14","27","Small","1","SQ3X3","20","30","Flying","32","312","16","19","25","18","220","50","20~30","60","70","","ALL","AVERAGE","1","2","","1","","","-25%","","","","","","","","","Battle Rifle","Lgt. Nuclear Core, 2x Cesium-ion Thruster","Wasps are swarmer class variants equipped with a derelict-made battle rifle, less reliable than swarmer armament but nonetheless dangerous in large numbers.",
"Wasp","Wasp (Derelict)","7","3","25","43","Small","1","SQ3X3","20","30","Flying","37","270","16","23","29","30","220","50","30~40","60","70","","ALL","AVERAGE","1","2","","1","","","-25%","","","","","","","","","Hvy. Battle Rifle","Lgt. Fission Core, 2x Nuclear Pulse Thruster","Wasps are swarmer class variants equipped with a derelict-made battle rifle, less reliable than swarmer armament but nonetheless dangerous in large numbers.",
"Thug","Thug (Derelict)","5","3","31","50","Medium","1","RD5X5","20","20","Walking","120","83","16","23","48","45","213","39","50~70","60","70","1","ALL","AVERAGE","1","2","2","1","-25%","","","-25%","","","","","","","","Beamcaster","Lgt. Angular Momentum Engine, 2x Carbon-fiber Leg, 2x Imp. Heat Sink","A derelict improvement on the grunt that essentially fits them with a beamcaster, an interesting weapon of derelict origin. Some variants suffer serious heat issues from the added firepower, however.",
"Thug","Thug (Derelict)","7","4","46","67","Medium","1","RD5X5","20","20","Walking","120","83","16","24","60","60","253","39","60~85","60","70","1","ALL","AVERAGE","1","2","2","2","-25%","","","-25%","","","","","","","","Particle Gun, Hvy. Beamcaster","Neutrino Core, 2x Flexi-carbon Leg, 2x Adv. Heat Sink","A derelict improvement on the grunt that essentially fits them with a beamcaster, an interesting weapon of derelict origin. Some variants suffer serious heat issues from the added firepower, however.",
"Savage","Savage (Derelict)","5","3","20","48","Medium","1","RD5X5","30","20","Treading","160","62","16","21","15","45","258","34","60~75","60","70","1","ALL","AVERAGE","1","2","1","1","","","","","25%","25%","","","","","","Great Maul","Imp. Deuterium Engine, 2x Lgt. Treads, Hrd. Light Armor Plating","Savages are early B-series brawlers, before they were upgraded with better armor. They also swing mauls rather than the faster hammers and maces of new brawler variants.",
"Savage","Savage (Derelict)","7","4","29","60","Medium","1","RD5X5","30","20","Treading","160","62","16","23","15","65","298","34","70~90","60","70","1","ALL","AVERAGE","1","2","1","1","","","","","25%","25%","","","","","","Power Maul","Fission Core, 2x Imp. Treads, Hrd. Medium Armor Plating","Savages are early B-series brawlers, before they were upgraded with better armor. They also swing mauls rather than the faster hammers and maces of new brawler variants.",
"Butcher","Butcher (Derelict)","5","3","25","50","Medium","1","RD5X5","30","20","Walking","120","83","16","21","10","40","127","34","50~70","60","75","1","ALL","AVERAGE","1","2","1","1","","","","","","25%","25%","","","","","Ripper","Imp. Deuterium Engine, 2x Carbon-fiber Leg, Melee Analysis Suite","Butchers are duelist class variants armed with more damaging derelict-designed slashing weapons. Survival in the harsh and factious cave environment seems to drive derelicts towards the use of more violent weapons, and in some cases a preference for decisive close-quarters combat.",
"Butcher","Butcher (Derelict)","7","4","38","67","Medium","1","RD5X5","30","20","Walking","120","83","16","24","15","60","127","34","60~85","60","76","1","ALL","AVERAGE","1","2","1","1","","","","","","25%","25%","","","","","Phasing Sabre","Neutrino Core, 2x Flexi-carbon Leg, Imp. Melee Analysis Suite","Butchers are duelist class variants armed with more damaging derelict-designed slashing weapons. Survival in the harsh and factious cave environment seems to drive derelicts towards the use of more violent weapons, and in some cases a preference for decisive close-quarters combat.",
"Bouncer","Bouncer (Derelict)","7","4","79","68","Large","1","RD7X7","40","100","Treading","170","58","16","24","70","75","819","34","75~95","66","70","1","ALL","AVERAGE","1","3","6","2","","","50%","","25%","","","","","","","Hvy. Autocannon","Rnf. Fission Core, 3x Arm. Medium Treads, Hrd. Heavy Armor Plating, Adv. Heat Sink, Adv. Cooling System, Imp. Weapon Shielding, Imp. Targeting Computer","Sentries rebuilt around a single heavy autocannon make for a formidable mid-sized defender, but move too slowly to be a threat to Complex 0b10. My forces have never actually encountered one, but mining derelict records has uncovered information useful in dealing with them should that become necessary.",
"Martyr","Martyr (Derelict)","5","3","35","53","Medium","1","RD5X5","30","30","Hovering","52","192","16","19","31","40","427","39","40~60","60","70","1","ALL","HARD","1","3","3","1","","","100%","","25%","","","","","","","Rocket Launcher","Lgt. Deuterium Engine, 3x Airjet, Hrd. Medium Armor Plating, Imp. Shock Absorption System, Launcher Guidance Computer","Despite their origins as older demolisher variants, martyrs do carry a rocket or missile launcher and are therefore considered extremely dangerous. Martyrs are rarely encountered anywhere near Complex 0b10, but those that are are promptly dealt with.",
"Martyr","Martyr (Derelict)","7","4","50","63","Medium","1","RD5X5","30","30","Hovering","56","178","16","20","30","65","370","39","55~80","60","70","1","ALL","HARD","1","2","3","1","","","100%","","25%","","","","","","","Missile Launcher","Mic. Fission Core, 2x Antigrav System, Imp. Medium Armor Plating, Imp. Shock Absorption System, Imp. Launcher Guidance Computer","Despite their origins as older demolisher variants, martyrs do carry a rocket or missile launcher and are therefore considered extremely dangerous. Martyrs are rarely encountered anywhere near Complex 0b10, but those that are are promptly dealt with.",
"Guerrilla","Guerrilla (Derelict)","5","3","39","66","Medium","1","RD5X5","60","50","Walking","120","83","16","23","37","45","241","34","50~70","65","70","1","ALL","HARD","1","2","3","1","25%","","","-25%","","","","","Scan Cloak (1): Hides this robot from sensors without a Signal Interpreter of at least strength 1.","","","Bore Cannon","Fission Core, 2x Flexi-carbon Leg, Targeting Computer, Armor Integrity Analyzer, Phase Shifter","Derelicts have taken the original hunter and rearmed it with a weapon of their own design: the bore cannon. While the concentrated firepower is less effective in open firefights, its ability to deal significant damage even after penetrating multiple walls is surprising.",
"Guerrilla","Guerrilla (Derelict)","7","4","51","77","Medium","1","RD5X5","60","50","Walking","120","83","16","24","40","65","296","34","60~85","70","70","1","ALL","HARD","1","2","4","2","25%","","","-25%","","","","","Scan Cloak (2): Hides this robot from sensors without a Signal Interpreter of at least strength 2.","","","Bore Cannon, Battle Rifle","Neutrino Core, 2x Myomer Leg, 2x Targeting Computer, Armor Integrity Analyzer, Phase Shifter","Derelicts have taken the original hunter and rearmed it with a weapon of their own design: the bore cannon. While the concentrated firepower is less effective in open firefights, its ability to deal significant damage even after penetrating multiple walls is surprising.",
"Wizard","Wizard (Derelict)","5","3","51","70","Medium","1","RD5X5","80","30","Hovering","56","178","16","23","48","40","185","29","50~60","60","70","1","MANUAL","","1","2","7","2","-25%","-25%","25%","75%","","","","Hacking","","","","2x Riot Gun","Lgt. Fission Core, 2x Gravmag System, Imp. Hacking Suite, System Shield, Corruption Screen, 2x Imp. Heat Sink, 2x Com. Battery","The single most annoying derelict out there. Hiding from my patrols, hacking my robots, accessing my databases, corrupting systems with their riot guns... According to those captured and analyzed, although the wizard's design is related to the programmer, the changes necessary to break them free of the relay network could only have been designed by an extremely intelligent system.",
"Wizard","Wizard (Derelict)","7","4","81","80","Medium","1","RD5X5","80","30","Hovering","52","192","16","39","68","50","234","29","60~70","60","70","1","MANUAL","","2","3","7","2","-25%","-25%","25%","75%","","","","Hacking","","","","2x Hvy. Riot Gun","Lgt. Antimatter Reactor, Lgt. Fission Core, 3x Antigrav System, Adv. Hacking Suite, Imp. System Shield, Imp. Corruption Screen, 2x Adv. Heat Sink, 2x Com. Battery","The single most annoying derelict out there. Hiding from my patrols, hacking my robots, accessing my databases, corrupting systems with their riot guns... According to those captured and analyzed, although the wizard's design is related to the programmer, the changes necessary to break them free of the relay network could only have been designed by an extremely intelligent system.",
"Marauder","Marauder (Derelict)","6","3","77","80","Large","2","SQ9X9","50","30","Treading","160","62","16","36","65","120","425","20","80~115","60","70","1","ALL","GREAT","2","3","6","3","","10%","","50%","","","","Coring","","","","2x Hvy. Battle Rifle, Slug Cannon","2x Fission Core, 3x Spk. Medium Treads, Hvy. Armor Plating, Reflective Plating, 2x Cooling System, Recoil Stabilizer","Inferior behemoth variants undoubtedly built by that idiot Warlord. They've only been reported deep in the caves, never anywhere near where an actual behemoth could tear them apart. They do possess respectable, if unreliable, firepower.",
"Marauder","Marauder (Derelict)","8","4","95","85","Large","2","SQ9X9","50","30","Treading","160","62","16","26","69","135","468","19","90~130","60","70","1","ALL","GREAT","1","4","6","3","","15%","","50%","","","","Coring","","","","Hvy. Battle Rifle, 2x Slug Cannon","Antimatter Reactor, 2x Spk. Heavy Treads, Hvy. Armor Plating, Med. Reflective Plating, 2x Imp. Cooling System, Recoil Stabilizer","Inferior behemoth variants undoubtedly built by that idiot Warlord. They've only been reported deep in the caves, never anywhere near where an actual behemoth could tear them apart. They do possess respectable, if unreliable, firepower.",
"Fireman","Fireman (Derelict)","5","2","28","50","Medium","1","RD5X5","20","20","Rolling","90","111","16","19","64","45","293","39","50~70","60","70","1","ALL","AVERAGE","1","2","2","2","-25%","50%","","","","","","","","","","2x Flamer","Lgt. Nuclear Core, 2x Arm. Wheel, 2x Imp. Cooling System","The fireman is a relatively new robot discovered in the caves, purely of derelict design. Their flamer technology is extremely effective against my robots, thus I've instructed researchers to revisit my most common methods of electronics housing.",
"Fireman","Fireman (Derelict)","7","4","39","67","Medium","1","RD5X5","20","20","Rolling","90","111","16","23","72","60","293","39","60~85","60","70","1","ALL","AVERAGE","1","2","2","2","-25%","50%","","","","","","","","","","2x Enh. Flamer","Lgt. Angular Momentum Engine, 2x Arm. Wheel, 2x Adv. Cooling System","The fireman is a relatively new robot discovered in the caves, purely of derelict design. Their flamer technology is extremely effective against my robots, thus I've instructed researchers to revisit my most common methods of electronics housing.",
"Mutant","Mutant (Derelict)","5","2","29","50","Large","1","RD7X7","30","20","Treading","160","62","16","29","60","55","285","34","50~70","60","70","1","ALL","HARD","1","2","3","2","","","","-25%","","","","","","","","Battle Rifle OR Battle Cannon, Flamer OR Barrage Gun","Deuterium Engine OR Imp. Deuterium Engine, Imp. Treads OR Arm. Treads, Imp. Treads OR Arm. Treads, Salvage Targeting Computer, Particle Charger OR Weapon Cycler, Heat Sink","Lumbering abominations cobbled together from stolen or salvaged components, though much of their weaponry is derelict in origin. I believe the ever-stimulating Warlord is mass-producing these to lead an attack of some sort, since sightings by cave patrols have become increasingly common.",
"Mutant","Mutant (Derelict)","6","3","41","60","Large","1","RD7X7","30","20","Treading","160","62","16","31","64","65","285","34","60~80","60","70","1","ALL","HARD","1","2","3","2","","","","-25%","","","","","","","","Riot Gun OR Barrage Gun, Enh. Flamer OR Hvy. Riot Gun","Imp. Deuterium Engine OR Angular Momentum Engine, Arm. Treads OR Med. Treads, Arm. Treads OR Med. Treads, Salvage Targeting Computer, Particle Charger OR Weapon Cycler, Heat Sink OR Imp. Heat Sink","Lumbering abominations cobbled together from stolen or salvaged components, though much of their weaponry is derelict in origin. I believe the ever-stimulating Warlord is mass-producing these to lead an attack of some sort, since sightings by cave patrols have become increasingly common.",
